1;Target;Source;Distance
1;AlchimistRousse50x;CDOM/01.AlchimistRousse50x.txt;12
1;BunkerIPA50x;CDOM/02.BunkerIPA50x.txt;12
1;LTMGose50x;CDOM/03.LTMGose50x.txt;12
1;BlancheBelgeMolson50x;CDOM/04.BlancheBelgeMolson50x.txt;12
1;DeathValley50x;CDOM/05.DeathValley50x.txt;12
1;BerlinerWeiss50x;CDOM/06.BerlinerWeiss50x.txt;12
1;Exploite100x;CDOM/11.Exploite100x.txt;12
1;StViateur100x;CDOM/12.StViateur100x.txt;12
1;Penombre100x;CDOM/13.Penombre100x.txt;12
1;Lochness100BIS;CDOM/09.Lochness100x.txt;16
1;BlondeAchouffe100x;CDOM/15.BlondeAchouffe100x.txt;12
1;BAchouffe100x;CDOM/15.BlondeAchouffe100x.txt;17
1;Moralite50x;CDOM/17.Moralite50x.txt;12
1;Ublonde50x;CDOM/18.UBlonde50x.txt;14
1;Interdite6050x;CDOM/19.Interdite6050x.txt;12
1;VieuxMontrealRousse50x;CDOM/20.VieuxMontrealRousse50x.txt;12
1;ChalevoixIPA50x;CDOM/21.ChalevoixIPA50x.txt;12
1;GrosseIle50x;CDOM/22.GrosseIle50x.txt;12
1;VinOrgeStHoublon100x;CDOM/23.VinOrgeStHoublon100x.txt;12
1;IPABelgeStHoublon50x;CDOM/24.IPABelgeStHoublon50x.txt;12
1;HefeweizenStHoublon100x;CDOM/25.HefeweizenStHoublon100x.txt;12
1;CoupGrisou100x;CDOM/07.CoupGrisou100x.txt;12
1;Canon100x;CDOM/08.Canon100x.txt;12
1;Lochness100x;CDOM/09.Lochness100x.txt;12
1;ChevalBlancDouble100x;CDOM/10.ChevalBlancDouble100x.txt;12
